AVDD12 3
AVDD33 8
AVDD33 30
DVDD12 17
DVDD33 16
DVDD33 25
VBUS 15 P
VUHSI 24 
SD_VCC 26
GND 27
DP 32
DM 31
TXN 1
TXP 2
RXN 4
RXP 5
RTERM 9
X1 6
X2 7
SD_WP 28
SD_CDZ 29
SD_D1 18
SD_D0 19
SD_CK 20
SD_CM 21
SD_D3 22
SD_D2 23
LED 14
SPI_CS 13
SPI_CK 12
SPI_MISO 10
SPI_MOSI 11
